2026-01-07T20:50:38Z | SessionStart | source=resume | session=9c05dd93-f83a-4bdc-a9bf-eacdfbf41d9b
2026-01-07T20:51:00Z | SessionStart | source=clear | session=287ecb13-f02d-44c0-bd21-c58e7046a0f1
2026-01-07T21:11:17Z | SessionStart | source=clear | session=test-123
2026-01-07T21:17:13Z | SessionStart | source=clear | session=test-checkpoint
2026-01-07T21:27:54Z | SessionStart | source=startup | session=10ccfd80-9f06-4f45-a790-f6d873ba687e
2026-01-07T21:44:49Z | SessionStart | source=clear | session=93b7d0dc-e6b8-4e9b-807e-c3ae57f08cb1
2026-01-08T00:23:06Z | SessionStart | source=startup | session=ab719ece-03df-49fc-84e5-b7aac70bd164
2026-01-08T00:24:39Z | SessionStart | source=clear | session=19dbd948-63c8-4646-8d27-c1303cf403ea
2026-01-08T00:49:24Z | SessionStart | source=startup | session=3e9c08a6-11eb-4832-95ae-54a332f7093f
2026-01-08T00:49:31Z | SessionStart | source=compact | session=93b7d0dc-e6b8-4e9b-807e-c3ae57f08cb1
2026-01-08T01:06:10Z | SessionStart | source=startup | session=d41777f7-c5bb-480d-bddb-6a49be9d5cdd
2026-01-08T01:18:25Z | SessionStart | source=clear | session=8a312729-b8e9-4795-81d4-cd917d5b08bb
2026-01-08T01:21:52Z | SessionStart | source=clear | session=9e19709f-7da0-4af9-8f97-efc294628f0b
2026-01-08T01:32:52Z | SessionStart | source=startup | session=784c0d78-4248-4b01-9b11-f57bf5c32f2e
2026-01-08T01:44:32Z | SessionStart | source=clear | session=e3c8566c-b345-45d8-ba5b-5635028fc5d1
2026-01-08T01:53:50Z | SessionStart | source=clear | session=836130ab-84db-4c35-a634-5c2a69ac6a12
2026-01-08T01:56:43Z | SessionStart | source=startup | session=a4f38bd1-d29f-40d1-9e57-b6c792dddb61
2026-01-08T02:08:18Z | SessionStart | source=clear | session=11345c37-8a6a-49ff-86c6-c895bc417334
2026-01-08T02:39:21Z | SessionStart | source=clear | session=e36f08b6-6640-4f71-8598-5987049d5b36
2026-01-08T02:45:08Z | SessionStart | source=compact | session=93b7d0dc-e6b8-4e9b-807e-c3ae57f08cb1
2026-01-08T03:29:42Z | SessionStart | source=compact | session=93b7d0dc-e6b8-4e9b-807e-c3ae57f08cb1
2026-01-08T03:31:52Z | SessionStart | source=startup | session=14ec6da1-7456-4d80-8b6c-5b2b3f762e80
2026-01-08T03:31:52Z | SessionStart | Launched watcher
